enrolment_id,course_length_weeks,quiz_score,login_frequency,progress_percent,completion_status
LR0001,10,58.4,24.0,74.5,Dropped
LR0002,8,81.9,31.0,79.4,Dropped
LR0003,8,68.7,28.0,62.1,Dropped
LR0004,10,65.6,7.0,47.1,Dropped
LR0005,6,57.9,14.0,47.9,Dropped
LR0006,6,70.6,6.0,59.7,Dropped
LR0007,10,70.6,17.0,60.2,Dropped
LR0008,8,85.8,39.0,100.0,Completed
LR0009,8,75.3,29.0,84.9,Completed
LR0010,10,56.2,36.0,65.5,Dropped
LR0011,4,102.5,36.0,100.0,Completed
LR0012,8,72.5,21.0,69.0,Dropped
LR0013,8,91.4,34.0,90.6,Completed
LR0014,4,110.2,16.0,63.9,Dropped
LR0015,10,58.6,14.0,28.5,Dropped
LR0016,10,78.3,33.0,90.6,Completed
LR0017,4,79.8,36.0,94.2,Completed
LR0018,4,88.6,34.0,100.0,Completed
LR0019,12,81.2,3.0,53.5,Dropped
LR0020,4,41.8,42.0,92.3,Completed
LR0021,6,75.2,9.0,75.7,Dropped
LR0022,6,67.4,18.0,71.8,Dropped
LR0023,8,64.7,13.0,49.5,Dropped
LR0024,12,48.3,12.0,29.1,Dropped
LR0025,10,67.1,15.0,68.5,Dropped
LR0026,10,66.8,7.0,58.2,Dropped
LR0027,12,67.6,3.0,38.6,Dropped
LR0028,4,55.9,5.0,65.7,Dropped
LR0029,10,76.9,41.0,89.4,Completed
LR0030,10,56.6,17.0,55.8,Dropped
LR0031,8,70.8,41.0,100.0,Completed
LR0032,12,69.6,21.0,93.9,Completed
LR0033,12,79.0,7.0,55.3,Dropped
LR0034,12,65.8,19.0,74.5,Dropped
LR0035,8,76.1,35.0,86.0,Completed
LR0036,6,80.5,22.0,86.8,Completed
LR0037,12,81.7,21.0,73.3,Dropped
LR0038,12,77.8,3.0,27.0,Dropped
LR0039,4,79.9,24.0,76.3,Dropped
LR0040,8,81.7,17.0,67.0,Dropped
LR0041,6,66.0,29.0,66.5,Dropped
LR0042,10,76.5,27.0,82.7,Completed
LR0043,6,61.4,15.0,65.6,Dropped
LR0044,4,62.7,28.0,75.7,Dropped
LR0045,8,49.6,23.0,61.0,Dropped
LR0046,4,56.7,17.0,46.1,Dropped
LR0047,8,75.4,39.0,98.1,Completed
LR0048,10,66.6,32.0,84.2,Completed
LR0049,8,116.4,9.0,72.5,Dropped
LR0050,8,65.8,22.0,64.0,Dropped
LR0051,4,54.7,36.0,85.1,Completed
LR0052,4,93.4,11.0,58.9,Dropped
LR0053,6,95.7,13.0,88.2,Completed
LR0054,12,65.5,30.0,72.5,Dropped
LR0055,10,70.1,7.0,57.8,Dropped
LR0056,8,53.9,27.0,94.4,Completed
LR0057,12,67.4,8.0,37.3,Dropped
LR0058,6,90.1,20.0,97.7,Completed
LR0059,12,58.3,32.0,75.6,Dropped
LR0060,8,101.0,6.0,74.2,Dropped
LR0061,8,61.8,4.0,31.0,Dropped
LR0062,12,60.3,12.0,56.7,Dropped
LR0063,12,101.9,26.0,97.2,Completed
LR0064,12,67.4,42.0,91.3,Completed
LR0065,4,73.2,38.0,100.0,Completed
LR0066,4,104.3,28.0,99.3,Completed
LR0067,12,68.1,8.0,67.4,Dropped
LR0068,10,49.5,38.0,87.8,Completed
LR0069,6,26.0,21.0,61.2,Dropped
LR0070,4,61.9,34.0,93.5,Completed
LR0071,12,56.0,16.0,68.4,Dropped
LR0072,10,80.5,38.0,100.0,Completed
LR0073,8,58.3,13.0,47.6,Dropped
LR0074,12,63.9,36.0,90.8,Completed
LR0075,6,51.4,34.0,83.5,Completed
LR0076,10,73.7,21.0,58.1,Dropped
LR0077,4,80.4,14.0,63.4,Dropped
LR0078,4,60.5,24.0,81.2,Completed
LR0079,10,97.0,40.0,83.8,Completed
LR0080,10,70.9,28.0,81.8,Completed
LR0081,12,79.7,28.0,49.3,Dropped
LR0082,10,69.4,4.0,50.1,Dropped
LR0083,4,75.5,11.0,63.4,Dropped
LR0084,6,64.7,22.5,42.5,Dropped
LR0085,4,85.2,10.0,91.7,Completed
LR0086,10,84.0,5.0,57.4,Dropped
LR0087,6,85.4,34.0,84.8,Completed
LR0088,10,61.8,34.0,79.7,Dropped
LR0089,10,63.4,40.0,87.9,Completed
LR0090,10,86.5,16.0,63.4,Dropped
LR0091,10,86.0,25.0,65.6,Dropped
LR0092,10,63.6,11.0,49.7,Dropped
LR0093,12,79.0,30.0,99.5,Completed
LR0094,10,77.4,35.0,92.5,Completed
LR0095,12,74.7,26.0,94.1,Completed
LR0096,12,65.3,37.0,94.6,Completed
LR0097,10,62.1,28.0,76.1,Dropped
LR0098,12,63.3,31.0,93.5,Completed
LR0099,8,75.6,32.0,100.0,Completed
LR0100,8,60.1,31.0,65.3,Dropped
LR0101,10,64.5,6.0,56.9,Dropped
LR0102,4,71.1,3.0,68.6,Dropped
LR0103,4,49.2,30.0,65.8,Dropped
LR0104,6,62.3,18.0,44.7,Dropped
LR0105,6,60.1,17.0,75.0,Dropped
LR0106,6,45.1,33.0,75.8,Dropped
LR0107,10,87.0,13.0,56.4,Dropped
LR0108,12,56.6,16.0,38.1,Dropped
LR0109,10,73.5,30.0,87.5,Completed
LR0110,6,82.1,38.0,76.1,Dropped
LR0111,8,64.1,19.0,76.4,Dropped
LR0112,8,64.9,22.0,66.7,Dropped
LR0113,4,51.2,33.0,92.6,Completed
LR0114,4,79.7,3.0,62.3,Dropped
LR0115,4,77.7,34.0,98.3,Completed
LR0116,10,52.6,6.0,53.9,Dropped
LR0117,12,73.0,27.0,69.5,Dropped
LR0118,6,58.3,22.5,29.3,Dropped
LR0119,10,62.9,39.0,100.0,Completed
LR0120,8,72.6,19.0,67.9,Dropped
